Company Name,Source,Portal Subdomain,Notes
3 Rivers Capital,Certificate Transparency,3riverscap.investorflow.com,
4x4 Capital,Certificate Transparency,4x4capital.investorflow.com,
ACORE Capital,Certificate Transparency (Data Pipeline),acore.prod.airflow.dataengine.apps.investorflow.com,Real estate credit
Ares Management,Web Research (UAT Portal),uat-portal-ares.investorflow.com,Global alternative asset manager
Atlas Sand,Certificate Transparency,atlassand.investorflow.com,
Bansk Group,Certificate Transparency,banskgroup.investorflow.com,Consumer-focused PE
BEXP (Brigham Exploration),Certificate Transparency,bexp.investorflow.com,
Bernhard Capital Partners,Certificate Transparency,bernhardcapital.investorflow.com,Infrastructure-focused PE
Blue Atlantic Partners,Certificate Transparency,blueatlanticpartners.investorflow.com,
Blue Wolf Capital Partners,Certificate Transparency,bluewolfcapital.investorflow.com,Middle-market PE
Brasfield & Gorrie,Certificate Transparency,brasfieldgorrie.investorflow.com,Construction/real estate
Bridge Capital,Certificate Transparency,bridgecapital.investorflow.com,
Broadsky Partners,Certificate Transparency,broadskypartners.investorflow.com,
Brookfield Asset Management,Certificate Transparency (Data Pipeline),brookfield.prod.airflow.dataengine.apps.investorflow.com,One of world's largest alt asset managers
BROY,Certificate Transparency,broy.investorflow.com,
Buckhorn Resources,Certificate Transparency,buckhornresources.investorflow.com,
BWP Capital,Certificate Transparency,bwpcapital.investorflow.com,
Cabot Properties,Certificate Transparency,cabotprop.investorflow.com,Industrial real estate
Canyon Partners,Certificate Transparency (Data Pipeline),canyon.prod.airflow.dataengine.apps.investorflow.com,Credit and event-driven investing
Carlton Senior Living,Certificate Transparency,carltonseniorliving.investorflow.com,Senior living operator
CAZ Investments,Certificate Transparency,caz.investorflow.com,Alternative investments
Clarity Features,Certificate Transparency,clarityfeatures.investorflow.com,
Collaborative Capital,Certificate Transparency,collaborativecap.investorflow.com,
Coral Tree LP,Certificate Transparency,coraltreelp.investorflow.com,
DCCP,Certificate Transparency,dccp.investorflow.com,
E78 Partners (Tillman PES),Certificate Transparency,tillmanpes.investorflow.com,
Eastside Partners,Certificate Transparency,eastsidepartners.investorflow.com,
Echo Realty,Certificate Transparency,echorealty.investorflow.com,
Edison Partners,Certificate Transparency,edisonpartners.investorflow.com,Growth equity - fintech/healthcare/enterprise
EFM,Certificate Transparency,efm.investorflow.com,
Eschelon Advisors,Certificate Transparency,eschelonadvisors.investorflow.com,
Excelsior LLC,Certificate Transparency,excelsiorllc.investorflow.com,
FGMK,Certificate Transparency,fgmk.investorflow.com,
Fenway Partners,Certificate Transparency,fenwaypartners.investorflow.com,Middle-market PE
FTS,Certificate Transparency,fts.investorflow.com,
General Atlantic (GA),Certificate Transparency + Press Release,ga.investorflow.com,Confirmed via PRNewswire 2024 press release
Gullane Capital,Certificate Transparency,gullanecapital.investorflow.com,
Harbour View Equity,Certificate Transparency,harbourviewequity.investorflow.com,
HC Global Fund Services,Certificate Transparency,hcglobalfs.investorflow.com,Fund administrator
