Company,Type,Industry,HQ / Region,AUM / Scale,Contact Person,Contact Title,Discovery Method,Source URL,Confidence,Notes
Blackstone,Client (FundEngine co-developer),Private Equity / Alternative Assets,New York USA,$1T+ AUM,William Murphy,CTO,Press release — Cloud Theory strategic investment,https://www.blackstone.com/news/press/blackstone-makes-strategic-investment-in-cloud-theory/,High,FundEngine (now InvestorFlow CRM) was incubated by Blackstone Innovations team
Kleiner Perkins,Client,Venture Capital,Menlo Park USA,,Moustafa ElBialy,CIO,Dreamforce 2023 keynote + website testimonial,https://www.investorflow.com/resources/blog/investorflow-at-dreamforce-2023/,High,Spoke at Dreamforce 2023 as InvestorFlow client
Ariel Alternatives,Client,Private Equity,Chicago USA,,Lorenna Buck Ph.D.,Managing Director,Website testimonial,https://www.investorflow.com/,High,Testimonial on scalability
Verde Technology Ventures,Client,Private Equity / Portfolio Mgmt,Unknown,,Jeffrey Green,Managing Director,Website testimonial,https://www.investorflow.com/,High,Testimonial on portfolio management
Alpha Alternatives,Client / Partner,Private Equity & Private Credit,Unknown,,Jonathan Balkin,Global Head of PE & PC,InvestorFlow AI press release,https://www.investorflow.com/resources/media-and-news/investorflow-ai-supercharges-private-markets/,High,Praised AI suite
M7 Real Estate,Client,Real Estate (Pan-European),London UK,,,,Website testimonial + Coyote Software,https://www.investorflow.com/,High,Pan-European RE firm across 14 countries
Nuveen,Client (via Coyote),Real Estate / Asset Management,Chicago USA,$1.1T+ AUM,,,Coyote Software acquisition press release,https://www.investorflow.com/resources/media-and-news/investorflow-announces-acquisition-of-coyote-software-to-create-the-leading-industry-cloud-for-the-commercial-real-estate-industry/,High,Named as proven Coyote client
LGIM (Legal & General Investment Management),Client (via Coyote),Asset Management,London UK,$1.5T+ AUM,,,Coyote Software acquisition press release,https://www.investorflow.com/resources/media-and-news/investorflow-announces-acquisition-of-coyote-software-to-create-the-leading-industry-cloud-for-the-commercial-real-estate-industry/,High,Named as proven Coyote client
Royal London Asset Management,Client (via Coyote),Asset Management,London UK,~$190B AUM,,,Coyote Software acquisition press release,https://www.investorflow.com/resources/media-and-news/investorflow-announces-acquisition-of-coyote-software-to-create-the-leading-industry-cloud-for-the-commercial-real-estate-industry/,High,Named as proven Coyote client
Landsec,Client (via Coyote),Real Estate (REIT),London UK,~$13B portfolio,,,Coyote Software press release (Nov 2019),https://coyotesoftware.co.uk/,High,Adopted Coyote platform pre-acquisition
Picton Property Income,Client (via Coyote),Real Estate,London UK,,,,Coyote Software press release (Oct 2019),https://coyotesoftware.co.uk/,High,Coyote hat-trick client Oct 2019
Kames Capital (now abrdn),Client (via Coyote),Asset Management,Edinburgh UK,,,,Coyote Software press release (Oct 2019),https://coyotesoftware.co.uk/,High,Now part of abrdn
